id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,is_luxury,is_long_term,availability_ratio,log_price
24403688.0,"L271 - Modern 1 BR with Sky Pool, Sukhumvit BTS!",123828822,Sara,Khlong Toei,13.71031,100.59427,Entire home/apt,1300,25,28,2022-06-22,0.49,22,148,4,False,False,0.4054794520547945,7.170888478512505
24405373.0,"Netflix, King Bed, Skytrain, 50mbpsWiFi, 55""TV",36009950,Sunny,Chom Thong,13.71497,100.46473,Entire home/apt,1200,2,45,2022-12-10,0.79,11,310,2,False,False,0.8493150684931506,7.0909098220799835
24856880.0,D25 Condo Thonglor Area Residential,187908471,Patcharapim,Vadhana,13.73995,100.58302,Private room,2500,1,0,,0.0,1,364,0,False,False,0.9972602739726028,7.824445930877619
24863128.0,2 Bedroom Near Huai Khwang MRT.,159375409,Mok,Huai Khwang,13.7696,100.58279,Private room,1850,1,2,2019-01-04,0.04,13,118,0,False,False,0.3232876712328767,7.523481312573497
24867270.0,"2 BRs, connecting door, free breakfast, near BTS",185566902,Thanawat,Khlong San,13.72276,100.51094,Hotel room,2100,1,14,2022-12-26,0.25,6,225,5,False,False,0.6164383561643836,7.650168700845001
24867793.0,"3 People Bedroom, with loft style, free breakfast.",185566902,Thanawat,Khlong San,13.72096,100.51085,Hotel room,1400,1,11,2019-11-01,0.2,6,95,0,False,False,0.2602739726027397,7.244941546337007
24868630.0,"Warm room White & Black design, Free breakfast.",185566902,Thanawat,Khlong San,13.72147,100.51075,Hotel room,1029,1,14,2019-11-22,0.25,6,158,0,False,False,0.4328767123287671,6.937314081223682
24869516.0,"New Hotel near Skytrain and Boat Pier, Twin Rooms",185566902,Thanawat,Khlong San,13.72209,100.51008,Hotel room,1329,1,3,2019-04-19,0.06,6,272,0,False,False,0.7452054794520548,7.1929342212158
24869954.0,"Twinrooms, Loft style, Free breakfast, Icon Siam",185566902,Thanawat,Khlong San,13.72108,100.50975,Hotel room,1029,1,14,2020-01-12,0.25,6,164,0,False,False,0.44931506849315067,6.937314081223682
24875048.0,"Heritage Shophouse in Chinatown, BKK (room no.2/2)",28447831,Dr. Piyamas,Samphanthawong,13.73586,100.51549,Private room,850,1,8,2022-11-23,0.14,11,27,4,False,False,0.07397260273972603,6.7464121285733745
25174940.0,"Classy studio w/ big bed, kitchen n all necessary3",71444803,Tuk,Yan Nawa,13.70538,100.53679,Entire home/apt,3500,2,0,,0.0,4,365,0,False,False,1.0,8.160803920954665
25175745.0,Baan Noppawong - Single Room,6905611,Kantasom,Phra Nakhon,13.75513,100.50118,Private room,1950,1,0,,0.0,5,365,0,False,False,1.0,7.576097340623111
25175903.0,Baan Noppawong - Deluxe Twin Room,6905611,Kantasom,Phra Nakhon,13.75538,100.49985,Private room,2900,1,0,,0.0,5,365,0,False,False,1.0,7.972810784121404
24406915.0,XVI Condo - The Happy Room,184245645,Parkpoom,Khlong Toei,13.72488,100.56068,Private room,670,30,37,2022-08-10,0.65,1,278,3,False,False,0.7616438356164383,6.508769136971682
25176038.0,Baan Noppawong - Deluxe Double Room,6905611,Kantasom,Phra Nakhon,13.75699,100.50165,Private room,2465,1,0,,0.0,5,365,0,False,False,1.0,7.81035268372429
25176081.0,Baan Noppawong - Junior Suite Room,6905611,Kantasom,Phra Nakhon,13.7553,100.4998,Private room,3900,1,0,,0.0,5,365,0,False,False,1.0,8.268988209506656
25176169.0,Baan Noppawong - Senior Suite Room,6905611,Kantasom,Phra Nakhon,13.75539,100.50038,Private room,4500,1,0,,0.0,5,365,0,False,False,1.0,8.412054873292933
25179177.0,"Pharam9 MRT地铁上盖,樓下新夜市Jodd Fairs,火车夜市5分钟步行,兩房兩廳一陽臺",151879505,Rose,Huai Khwang,13.76068,100.56775,Entire home/apt,2144,7,46,2020-03-14,0.83,1,174,0,False,False,0.4767123287671233,7.6708948313621175
24441156.0,IVY Thonglor,58981088,Supakar,Vadhana,13.73822,100.58291,Entire home/apt,1900,2,16,2022-08-31,0.28,1,253,3,False,False,0.6931506849315069,7.550135342488429
